seed,name,color,mascot
1,Kentucky,blue,cat
16,Lafayette,,
8,Cincinnati,red,cat
9,Purdue,,
5,West Virginia,blue,
12,Buffalo,blue,
4,Maryland,red,
13,Valparaiso,,
6,Butler,blue,dog
11,Texas,,
3,Notre Dame,blue,
14,Northeastern,red,dog
7,Wichita St.,,
10,Indiana,red,
2,Kansas,blue,
15,N. Mex. St.,red,
