seed,name,color,mascot
1,Villanova,blue,cat
16,Montana,,
2,Ohio St,,
15,NC St,,
3,West Virginia,,
14,Indiana,,
4,Louisville,,
13,Louisiana Tech,,
5,Providence,,
12,Purdue,,
6,Oklahoma,,
11,Albany,,
7,Michigan St,,
10,Colorado St,,
8,Arizona,,
9,Coastal Carolina,,
