seed,name,color,mascot
1,Virginia,blue,person
16,Manhattan,,
2,St. John's,,
15,Dayton,,
3,Arkansas,,
14,Wofford,,
4,Baylor,,
13,Georgia St,,
5,Georgetown,,
12,Oklahoma St,,
6,Maryland,,
11,Northeastern,,
7,Iowa,,
10,Virginia Commonwealth,,
8,Kansas,,
9,North Carolina,,
